sample	PC1	PC2	PC3	PC4	PC5	label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst	age_kyr	total_tax_abund_tad	detected_taxa_tad	total_n_reads	total_n_reads_tad	total_tax_abund_read	total_tax_abund_aln	threshold	log_total_tax_abund_tad	log_total_n_reads	log_total_n_reads_tad
LV7001898088	-25.5716707388151	25.6824933207143	-3.69190642207543	4.79382993403008	-5.85566139570352	LV7001898088	ST13		10	6031	202.91		""	3.33124	117014401	60.1	89334062	61.3	6.31439442739767	6.031	1114507	105	2216239	1536495	1467831	1511562	3	6.04708319021723	6.34561678901298	6.18653143398375
LV7001898076	-46.651914780833	-11.4721319257654	-3.15480217308413	26.6462262125132	-4.07021661449253	LV7001898076	ST13		15	6429	184.76		""	3.34716	115346098	55.3	78619492	56	6.25051014241062	6.429	803146	132	1669790	1021170	1218192	1247982	3	5.9047950414755	6.22266211592186	6.00909847287839
LV7001898064	-6.08947875465798	0.608558285272625	-18.6796089773786	12.9918591130042	7.01084897305586	LV7001898064	ST13		20	6808	117.6		""	3.36232	104626976	54	53467555	54.8	6.18967560972194	6.808	212890	44	697657	337670	401776	415137	3	5.3281573019599	5.84364257862301	5.52849376397925
LV3003046995	8.31835914571651	28.9517929690491	27.3436283082685	15.3904428078446	5.99500232455414	LV3003046995	ST8		35	6970.5	117	5.81821372224369	mgca_jonkers_2013	3.36882	178414482	82.8	152189789	85.2	6.16359220190688	6.9705	391166	64	422065	228673	615672	631065	3	5.59236220929957	5.62538036848439	5.35921678857514
LV7008886751	9.87618895684556	-3.33051905024622	-12.5639465602376	9.62780202611751	-3.03682165544717	LV7008886751	GeoB25202_R1		38.5	7133.5	84.76	6.13742853745238	uk37_alkenone	3.376675	167350731	43.1	40174994	44.4	6.13742853745238	7.1335	112469	17	407085	162495	248925	259002	3	5.05103669514121	5.60968616691564	5.21084267485761
LV7008886763	10.3141260422736	-4.7813414089807	-5.91312386769533	8.14785035559995	-2.4229906265007	LV7008886763	GeoB25202_R2		38.5	7133.5	37.96	6.13742853745238	uk37_alkenone	3.376675	153803085	44.3	35210092	46.4	6.13742853745238	7.1335	59198	10	221681	89240	126887	133096	3	4.77231437060552	5.34573043096727	4.95056442817443
LV3003061546	4.76692252658172	-3.16441083001353	-22.1794211736512	14.9309766469579	4.29895575110964	LV3003061546	ST13		25	7197	267.14		""	3.37985	57808931	62.4	41212328	62.7	6.14534613060279	7.197	212900	33	492190	266207	340233	348776	3	5.32817770133246	5.69213366811105	5.42522110261743
LV3003061533	1.16887948507355	-2.18583321129251	-20.5053799467591	13.4173998560497	7.26282656281692	LV3003061533	ST13		30	7912	290.8		""	3.4156	103171906	59.1	63404336	59.5	6.23449698261132	7.912	195725	37	521038	260124	342513	352865	3	5.29164852063251	5.71687023165056	5.41518209321968
LV3003046980	10.0207355570017	26.3740222838809	15.913975487822	15.8410672139536	9.87038526707148	LV3003046980	ST8		40	8056	95.39	5.42145708999487	mgca_jonkers_2013	3.41776	84644758	80.9	70313255	82.7	6.25245183951933	8.056	178093	53	399413	201625	300725	307314	3	5.25064928829657	5.60142328340946	5.30454653436307
LV3003061518	-41.4922942635835	-10.8095434057441	2.93133553765952	19.13740410055	-4.25788594060806	LV3003061518	ST13		35	9804	303.98		""	3.49256	114542623	68.5	78968770	69.5	6.47040385254158	9.804	418585	111	886062	505475	658059	672538	3	5.62178469886071	5.94746460177379	5.70370054011494
LV3003046952	14.3874096849909	29.1674019839697	30.1389731218998	6.09622094544372	15.8464880961211	LV3003046952	ST8		50	10260	116.29	4.62794382549722	mgca_jonkers_2013	3.5408	88430474	83.4	60192917	86	6.52726089941695	10.26	311674	69	365358	182907	486163	494558	3	5.49370196814954	5.56271980992181	5.2622327009924
LV3003046938	13.6298172393272	30.1982567659144	33.2572718618659	0.0139557091723361	17.272865872546	LV3003046938	ST8		55	11169	92.71	4.63006993265698	mgca_jonkers_2013	3.65408	135351707	83.8	73358025	85.5	6.64060093364877	11.169	321664	78	442754	228723	513765	524097	3	5.50740380838782	5.64616347434579	5.35931173750006
LV3003061506	4.92696970934912	-3.33872450735727	-7.0408511546829	4.04598740754194	3.88543251295881	LV3003061506	ST13		40	11950	164.07		""	3.904	63589346	59.2	48096504	60.6	6.73798109507347	11.95	57678	14	291094	80355	168635	174153	3	4.76101772226882	5.46403474583366	4.90501831009259
LV3003047044	0.347285753352744	-3.59031016795259	4.07057428370569	-3.37778626360546	5.69331986235034	LV3003047044	ST8		60	12078	46.49	4.63219603981674	mgca_jonkers_2013	3.93092	63682406	81.2	26806847	83.3	6.75394096788059	12.078	48888	19	196935	52885	141199	145290	3	4.68921115407865	5.29432511264525	4.72334072066578
LV3003047027	3.12677893727019	28.4921987979086	27.029960605421	-4.69939831827884	13.1332004809364	LV3003047027	ST8		65	12877	149.32	5.04178088906654	mgca_jonkers_2013	4.04278	166139455	84.4	112662581	86.9	6.85356548641879	12.877	325643	78	472415	243553	514578	523624	3	5.51274308069559	5.67432459807365	5.38659526658552
LV3003047010	4.94841482969549	27.8494414088424	24.8977557780487	8.44841646775057	12.5886714950698	LV3003047010	ST8		70	13676	131.81	5.45136573831635	mgca_jonkers_2013	4.20872	124044083	83.1	98890535	85.9	6.95319000495699	13.676	198657	61	437825	212648	349458	358531	3	5.29810605887488	5.64130154828091	5.32766334474812
LV3003061492	-47.7996209257684	-27.8943804616845	11.5454706246877	14.7549035126447	-17.6519886312354	LV3003061492	ST13		45	14437	376.09		""	4.37177	119240881	67.3	80494467	68	7.04807643625558	14.437	897569	176	1593384	1076728	1247256	1271160	3	5.95306832847961	6.20232072443499	6.03210641024838
LV3003046994	10.9764537943565	-3.52164393507636	-12.1049611479661	6.66438563600182	-2.28288087935592	LV3003046994	ST8		79.5	15549	87.72	4.99039754502124	mgca_jonkers_2013	4.63274	71148178	57.2	33076881	57.9	7.18672783126745	15.549	134615	17	439438	215710	254655	266406	3	5.12909668172112	5.64289859772144	5.33387229214702
LV7008886727	-33.1521794960003	-12.7594924579823	3.32263040197314	1.55113448307055	9.29166064319121	LV7008886727	GeoB25202_R1		59.5	16437.5	79.12	7.29751179212	uk37_alkenone	4.806875	181407355	47.9	57424152	48.6	7.29751179212	16.4375	251232	66	809965	333218	548636	562606	3	5.4000766843351	5.90846678885112	5.52272975672005
LV7008886739	-45.7737606817933	-18.4185645591532	10.4704412125802	7.39188139281236	3.21553944045327	LV7008886739	GeoB25202_R2		59.5	16437.5	82.56	7.29751179212	uk37_alkenone	4.806875	201287627	49.7	67761404	50.8	7.29751179212	16.4375	493601	103	1203912	615926	886476	907926	3	5.69337691072374	6.08059510404382	5.78952924239842
LV3003046979	-5.6874664213815	13.2621552684717	-1.09728334410481	-1.41281196016075	6.99494398510715	LV3003046979	ST8		84.5	16461	131.92	4.74778270644487	mgca_jonkers_2013	4.80993	62932113	71.5	35885630	73.7	7.29869936048704	16.461	150675	43	380056	158473	301288	311172	3	5.17804408245646	5.57984873590377	5.19995801997484
LV3003061477	-52.1995758489636	-22.1172948898247	15.2415685129131	11.063951438286	-20.2123480977252	LV3003061477	ST13		50	16726	301.74		""	4.84438	125495327	67.8	84929726	70.8	7.31209108888136	16.726	880237	165	1659377	1131068	1230985	1254480	3	5.94460011318635	6.21994532792602	6.05348909953659
LV3003046966	-19.5949379119889	-1.54423201557719	0.92125976445815	-3.02329719637571	13.0059609436148	LV3003046966	ST8		89.5	17373	104.95	4.50516786786849	mgca_jonkers_2013	4.93222	64053262	73.4	33174625	75	7.34478712009314	17.373	178621	54	487517	216449	338075	348668	3	5.25193494777867	5.68799065522709	5.33535759014918
LV3003046950	-30.4933516366231	-9.72814808055195	4.97486219265889	-0.623483045288913	14.1929603467907	LV3003046950	ST8		94.5	18099	104.24	2.39521562696755	mgca_jonkers_2013	5.01406	54550611	72.2	30319286	73.7	7.38147540241116	18.099	217455	68	535809	239990	408658	418290	3	5.33737139512825	5.72901081473	5.38019495536316
LV3003046937	-10.2176126759463	-1.8008176837759	-1.80657635504388	-5.8273017595501	11.8965560044622	LV3003046937	ST8		99.5	18598	100.16	2.93302273038462	mgca_jonkers_2013	4.98412	37032447	66.6	19341245	67.9	7.40669227965178	18.598	106977	26	410966	156696	251032	258201	3	5.02929447431163	5.61380695011623	5.19506068188073
LV3003047041	-45.0950600084609	-11.1434400761481	-3.32331694987232	7.384900344008	3.91440762708793	LV3003047041	ST8		104.5	19097	105.88	3.47082983380169	mgca_jonkers_2013	4.96291	92918951	73.6	51583899	75.3	7.4319091568924	19.097	471440	102	1102355	629791	753430	772142	3	5.6734273492945	6.04232187025789	5.79919713966362
LV3003061572	-50.5104202223138	-26.0847045375901	15.478540703136	10.0686954116641	-18.2434393771476	LV3003061572	ST13		55	19099	341.81		""	4.96297	148847098	75.5	75948836	100.4	7.43201022654066	19.099	719061	161	1315022	860396	1025010	1045094	3	5.85676633836203	6.11893334878451	5.93469888743635
LV3003047026	-1.63008691667467	-16.6130937992251	-36.0605993067793	16.09125734306	14.5471395219355	LV3003047026	ST8		109.5	19565	12.35	2.88473711426933	mgca_jonkers_2013	4.97695	948154669	61.9	126124116	64.1	7.455559454585	19.565	714831	116	1146256	616098	1175314	1210280	3	5.85420398579269	6.05928200085002	5.78965050388376
LV3003047009	2.42472666452451	-10.8526608049294	-21.7346398876513	6.83661746177397	16.8554509947126	LV3003047009	ST8		114.5	20142	99.94	3.12499528201102	mgca_jonkers_2013	4.97864	78281501	64.3	50491740	64.7	7.48471804810772	20.142	238549	51	475282	236076	414170	429385	3	5.37757942089495	5.67695228065657	5.37305367763506
LV3003046993	-9.4483615187175	5.20075762321859	-10.2575730653134	13.8821072251129	16.5600853368788	LV3003046993	ST8		119.5	20719	108.7	3.36525344975272	mgca_jonkers_2013	4.93248	230108757	68.3	100382437	69.6	7.51387664163044	20.719	584604	127	700808	342957	951719	975170	3	5.76686252546398	5.84559967053622	5.5352409378705
LV3003061559	-15.3544625869934	3.08218065075686	-8.00195509310132	-2.34540680410966	8.56629808997396	LV3003061559	ST13		60	21069	362.3		""	4.90793	96182866	67.5	57351399	75.1	7.53156383007576	21.069	140462	39	477595	182540	308559	318560	3	5.1475619398138	5.67906068079886	5.26136042536194
LV3003046978	-33.2189366169237	-9.36315705483267	-2.38656561634814	-2.42949157089237	6.76972917252884	LV3003046978	ST8		124.5	21296	113.8	3.60551161749441	mgca_jonkers_2013	4.90112	72686612	55.3	49044465	56.1	7.54303523515316	21.296	375780	74	988291	499977	654070	677227	3	5.57493481779815	5.99488527986363	5.69895089495841
LV3003046965	-50.3240153066928	-25.5451501461967	13.4258813883042	8.88051971639081	-10.6258817919486	LV3003046965	ST8		129.5	21832.3333333333	73.24	3.13112604739667	mgca_jonkers_2013	4.88503	123105827	60	61272397	60.7	7.57013874582794	21.8323333333333	732681	150	1410110	871392	1109778	1137712	3	5.8649155222382	6.14925330044977	5.94021406687632
LV3003046949	-38.0514616621186	-10.9830624803767	2.47363957365377	-2.87427969187345	3.91818866986058	LV3003046949	ST8		134.5	22368.6666666667	140.56	2.65674047729892	mgca_jonkers_2013	4.87262666666667	61245129	56.4	37969700	57.8	7.59724225650273	22.3686666666667	366071	74	939565	535446	597171	614541	3	5.56356651197212	5.97292729261009	5.72871648964654
LV3003046936	-47.5965944053685	-25.7994207679187	7.89777681474197	4.62288604025507	-3.01886428371342	LV3003046936	ST8		139.5	22905	189.42	2.18235490720117	mgca_jonkers_2013	4.8619	152063717	62.8	56886217	63.9	7.62434576717752	22.905	663263	127	1278547	765545	999878	1034963	3	5.82168642572346	6.10671703720695	5.88397129163252
LV3003061545	-28.626591838801	-0.790243198803952	-1.66205828869869	-3.42177455437307	11.4023014766192	LV3003061545	ST13		65	23172	284.94		""	4.8514	110691172	77.3	54077025	90.3	7.63783856522009	23.172	211303	59	588238	282411	385770	395554	3	5.32490771835608	5.76955381466834	5.45088314642743
LV3003047145	-17.0381006895934	-2.3983083827298	-8.65941144633634	0.255038206392086	12.6002014868762	LV3003047145	ST8		144.5	23446	279.12	3.07806968232358	mgca_jonkers_2013	4.8377	33473724	69.7	25529607	71.1	7.65168510703157	23.446	154757	43	454651	190119	311521	321764	3	5.18965310852287	5.65767910587542	5.27902780562272
LV3003047132	-49.0849411654779	-30.3038260436797	11.5425950060985	7.77812813677623	-19.6784687406287	LV3003047132	ST8		149.5	23987	252.49	3.97378445744599	mgca_jonkers_2013	4.81065	102185528	63	55519062	64.2	7.67902444688563	23.987	864385	166	1650643	1097828	1246470	1273273	3	5.93670772423158	6.2176534175954	6.04053469882092
LV3003047118	-37.2348942588478	-9.82241214130614	7.43284646768551	-5.63230509678626	4.19641374964803	LV3003047118	ST8		154.5	24528	236.52	4.86949923256839	mgca_jonkers_2013	4.81528	91417437	63.5	42464543	65.7	7.70636378673969	24.528	391962	87	940644	530783	652571	668697	3	5.59324507300456	5.97342575134415	5.72491782297831
LV3003047099	-6.06322990430196	-3.19964975815864	0.490684607559282	-5.7484871234279	8.73902178167351	LV3003047099	ST8		159.5	25058	89.55	4.2375054250314	mgca_jonkers_2013	4.8113	28885458	59.3	17167551	60.8	7.73314724352832	25.058	82528	25	341103	108095	208351	215710	3	4.91660658281548	5.53288681224745	5.0338096235549
LV3003047071	2.53040939460871	-4.90059709361506	-0.659056906775915	-3.66935205602821	8.80842640523075	LV3003047071	ST8		169.5	26141	140.62	4.12720539382505	mgca_jonkers_2013	4.68128	68001919	56.3	20785023	59.2	7.78787645806057	26.141	47492	15	284429	60382	176603	183989	3	4.67662960361645	5.45397540129588	4.78091468621407
LV3003047169	-0.427873835842605	-7.45095825735878	-5.32608805416022	-3.4243357180169	8.95869636092164	LV3003047169	ST8		174.5	26670.3333333333	195.44	4.12763158267034	mgca_jonkers_2013	4.72362666666667	78793387	55.3	25386659	57.5	7.81462622496645	26.6703333333333	83447	24	355469	90540	233882	242675	3	4.92141593239486	5.55080295419595	4.9568452868467
LV3003047156	-8.35917605317611	-5.8461459830173	1.15900998583097	-4.23751421232129	8.67283753959952	LV3003047156	ST8		179.5	27199.6666666667	175.93	4.12805777151563	mgca_jonkers_2013	4.75	57674275	59.1	20077855	61	7.84137599187233	27.1996666666667	84364	30	329786	81593	233863	241640	3	4.92616231085006	5.51823353202548	4.91165822416199
LV7008886703	-5.506689320579	-2.95848274089238	-8.25361442227049	-5.31299198086873	8.70355599914784	LV7008886703	GeoB25202_R1		84.5	27685.5	41.04	7.86592749392857	uk37_alkenone	4.75	139576170	55.3	32441759	57.3	7.86592749392857	27.6855	95155	24	424710	130902	267053	285509	3	4.97843617764393	5.62809350934819	5.11694959970978
LV7008886715	-11.3317712230002	0.827980723736122	-9.32444441344241	-3.46836731228929	8.82726932415109	LV7008886715	GeoB25202_R2		84.5	27685.5	77.28	7.86592749392857	uk37_alkenone	4.75	163412376	53.6	44513031	55.5	7.86592749392857	27.6855	168064	31	591786	248485	364957	376676	3	5.22547727983144	5.77216542062476	5.39530192508535
LV3003047144	-15.0068210257289	-4.22606204443745	-1.61113776374885	-8.37205733862797	14.7749972520116	LV3003047144	ST8		184.5	27729	145.85	4.12848396036092	mgca_jonkers_2013	4.75	92057786	60.2	26538281	62.3	7.87282431997209	27.729	106913	38	419722	126603	282081	292308	3	5.02903457821761	5.6229627683523	5.10244742724915
LV3003047131	2.86150777797122	-2.57755941584783	0.0157843493879537	-5.47760919971784	7.51704541700207	LV3003047131	ST8		189.5	28245.3333333333	102.07	3.79878121129077	mgca_jonkers_2013	4.74509333333333	52927950	62	18465157	64.2	7.95468779538517	28.2453333333333	38925	12	250370	47758	154534	160603	3	4.59023977830897	5.39858402394196	4.67905522475807
LV3003061531	-23.784309530502	4.80298492726084	-8.23490546809779	-6.04034963537727	9.91433634395931	LV3003061531	ST13		76	28445	99.27	6.67825064126309	mgca_jonkers_2013	4.7411	92367510	61.2	35673132	62.1	7.98634449117112	28.445	233268	50	712267	320838	467693	479748	3	5.36785702759151	5.85264343327395	5.50628715404892
LV3003047117	6.30362518785141	-5.43096336972853	2.10404524061383	-4.30986388122497	6.55343923488037	LV3003047117	ST8		194.5	28761.6666666667	158.61	3.46907846222062	mgca_jonkers_2013	4.73476666666667	120673383	62.4	16047191	66.1	8.03655127079825	28.7616666666667	22279	9	205322	25557	127242	132210	3	4.34791518650169	5.31243760116601	4.40752686580295
LV3003047098	8.7804222802723	-4.41211864239901	-0.915702559894327	1.33727567921245	0.62058026913731	LV3003047098	ST8		199.5	29278	110.66	3.13937571315047	mgca_jonkers_2013	4.69942	78560973	57.5	14314578	59.5	8.11841474621133	29.278	22978	7	172298	29657	98828	103188	3	4.36133112513853	5.23628275686914	4.47214186084442
LV3003047085	1.2162472097042	-4.26350276215414	-3.97437851154295	-2.30340492694597	8.01328358319385	LV3003047085	ST8		204.5	29703	130.79	3.1118182170815	mgca_jonkers_2013	4.65267	72934268	58.5	23719130	60.7	8.18579752939511	29.703	56369	19	280071	79675	163993	169442	3	4.75104803482019	5.44726969271029	4.90132752293656
LV3003047070	5.76981214208546	-3.35312403911824	-4.50241904755171	-4.12250635783758	1.43483199867085	LV3003047070	ST8		209.5	30128	151.38	3.08426072101253	mgca_jonkers_2013	4.62	68056678	53.6	17883228	56.6	8.25318031257889	30.128	35972	11	210731	44325	128214	133320	3	4.55597665769943	5.32373048894552	4.64665854212029
LV3003047168	0.888769303331339	-4.7990986457706	-3.18642954080715	-2.75976368166992	8.01718169536268	LV3003047168	ST8		214.5	30497	193.15	3.05670322494356	mgca_jonkers_2013	4.62	56419893	53.7	23672441	55.4	8.31168442315493	30.497	68126	22	310025	90968	186300	192712	3	4.83331926502729	5.49139811700535	4.95889342064384
LV3003061517	-31.9789512390192	8.0543592500171	3.24763633231027	-12.6171000258268	1.61093486614635	LV3003061517	ST13		81	30678	343.69	6.45738016350526	mgca_jonkers_2013	4.62	166832578	74.7	79298875	86	8.34038156140496	30.678	307349	80	742975	385280	537228	550933	3	5.48763321745688	5.87097478517927	5.58577759245807
LV3003047155	8.63376161154236	-4.47727588248405	-1.65732645603242	-0.40164304331385	1.13292400064905	LV3003047155	ST8		219.5	30947.5	72.49	3.59259359265224	mgca_jonkers_2013	4.62	58779708	51.8	15672586	53.7	8.38311017332974	30.9475	34433	10	185790	44331	110124	114352	3	4.5369874751306	5.26902467227869	4.64671732456283
LV3003047143	1.95085200612931	-0.000573436929179492	-6.37358497756387	-3.52333781262223	3.59074096246382	LV3003047143	ST8		224.5	31398	133.26	4.12848396036092	mgca_jonkers_2013	4.61204	135126726	57.5	24111588	60.5	8.45453592350455	31.398	57754	18	277854	74144	180801	187401	3	4.76158958819036	5.44381821631978	4.87008186951646
LV3003047130	7.04671229064386	-5.59602142857532	1.92141567941015	-3.84310498009155	5.10623851953197	LV3003047130	ST8		229.5	31936	108.94	4.9756968195377	mgca_jonkers_2013	4.60128	43901456	63.3	16307041	66.4	8.53983459962896	31.936	23292	9	166928	25518	109585	114509	3	4.36722542668583	5.22253179171765	4.40686365190684
LV3003047114	5.35489840449058	-4.52974986957825	3.09336551147926	-5.30372410486254	3.47657624778507	LV3003047114	ST8		234.5	32385.5	41.03	4.80182032251746	mgca_jonkers_2013	4.59229	21045484	64.8	12594552	66.9	8.61110180207863	32.3855	25226	11	157011	27701	108519	112428	3	4.40186560719961	5.19593284562341	4.44251112493479
LV3003061505	-9.59024248514674	0.814415290550599	-2.80968398272398	-9.99356963470499	5.81225635171273	LV3003061505	ST13		86	32810	188.85	6.23650968574743	mgca_jonkers_2013	4.5838	82717700	80.4	45809256	89.7	8.67840531139984	32.81	118902	30	348498	136483	244497	254813	3	5.07519281228908	5.54220153625008	5.13508174208012
LV3003047097	4.62141593943907	-3.65356194702305	0.332011182172622	-6.95861882939585	3.62284512930561	LV3003047097	ST8		239.5	32835	93.56	4.62794382549722	mgca_jonkers_2013	4.5833	84081411	56.6	17377814	59.5	8.6823690045283	32.835	33146	13	228146	40831	148923	155663	3	4.52044422829424	5.35821476242706	4.61100065270505
LV3003047084	-0.160047590809329	4.80692453579819	-0.495210896778877	-10.6130792214066	4.59737782481575	LV3003047084	ST8		244.5	33276	4.13	6.53096294335688	mgca_jonkers_2013	4.58276	390411795	56.1	31074859	58.4	8.75228855131429	33.276	80543	28	374363	81304	280190	289640	3	4.90603319386827	5.57329407897349	4.91011725415051
LV3003047069	4.36612818572237	-4.04638611787526	1.29145383567057	-5.70259904879532	5.09010935523206	LV3003047069	ST8		249.5	33743.6870748299	233.37	6.20212176047846	mgca_jonkers_2013	4.5874368707483	66820935	59	22512581	61.8	8.82643927310517	33.7436870748299	28052	11	196612	29568	125718	129619	3	4.44797931171617	5.29361222988274	4.47083663728143
LV3003047167	11.3752947535373	-6.8866278333433	2.28104095374562	0.276239300444061	0.554650522960985	LV3003047167	ST8		259.5	34678.12	171.35	5.57495241758692	mgca_jonkers_2013	4.556094	55257624	57.2	14241098	59.7	8.97459148768522	34.67812	13495	6	139251	17503	84499	88555	3	4.13020506958107	5.14380144142369	4.24313730465334
LV3003061488	-34.9679091652859	-0.147120591609445	-0.0814993232606201	-4.77115413412071	8.79663305215836	LV3003061488	ST13		91	35041	245.05	6.0156392079896	mgca_jonkers_2013	4.53631	127243231	79.7	66338584	85.6	9.03212528618341	35.041	264194	74	657312	337368	458884	469493	3	5.42192459415301	5.81777222161923	5.52810517384449
LV3003047154	6.79354326613176	-4.24979091173262	0.207282778038909	-3.62198648156995	3.20261528224164	LV3003047154	ST8		264.5	35130.12	109.23	5.75466161579687	mgca_jonkers_2013	4.5282892	24559061	57.6	12574749	58.9	9.04625505944773	35.13012	21545	9	164997	24604	97123	100166	3	4.33336665550972	5.21747868000646	4.3910233693701
LV3003047142	9.25562665213913	-6.92295185917728	4.02880722115148	-2.64756545549728	4.03226137610317	LV3003047142	ST8		269.5	35582.3	78.67	5.88471892901571	mgca_jonkers_2013	4.487593	67334598	64.9	15239544	67.1	9.11794716980078	35.5823	12626	6	128012	12838	80753	83678	3	4.10130018046768	5.10725407544148	4.10853119885787
LV3003047129	1.52021919112907	-2.92926360696724	-0.761685959439292	-5.66355782218081	8.38142650697964	LV3003047129	ST8		274.5	36037.3	75.83	5.23689671070721	mgca_jonkers_2013	4.450373	33964594	62.9	16307844	64.1	9.19008638473871	36.0373	47115	17	231293	56577	149898	155487	3	4.67316841311041	5.36416436687918	4.75264759133031
LV3003047113	-5.84821056596101	1.78755070171053	-5.61008572875166	-8.70013694563675	7.98174692333326	LV3003047113	ST8		279.5	36489.27	109.94	4.62053611323564	mgca_jonkers_2013	4.4548927	73296885	60.2	24562830	62.8	9.26174520006947	36.48927	101046	22	386416	120137	255000	263668	3	5.00452342420673	5.58705622448203	5.07968039774457
LV7008886226	9.14747789899954	-2.73175800401591	-7.66730931808797	-0.96770901782588	-3.6895473144391	LV7008886226	GeoB25202_R2		105.5	36607	46.28	9.28041102375	uk37_alkenone	4.45607	193464268	41.2	26190630	42.8	9.28041102375	36.607	123720	16	501953	186050	294244	318039	3	5.0924434216183	5.70066391941289	5.26963200864035
LV7008886776	-19.4984328086502	5.53555762283885	-2.68865074293646	-13.5617875024411	7.38725945190621	LV7008886776	GeoB25202_R1		105.5	36607	70.05	9.28041102375	uk37_alkenone	4.45607	152962664	56	41404251	58.3	9.28041102375	36.607	191963	51	577796	222116	417620	429285	3	5.28321979085316	5.76177528259847	5.3465817990872
LV3003047096	-1.6641598330567	-1.46492435737103	-7.83468156111445	-8.45903945455693	3.62751883492902	LV3003047096	ST8		284.5	36893.77	135.25	4.49707424220948	mgca_jonkers_2013	4.4589377	56084885	55.6	20029588	57.5	9.23725876185055	36.89377	125784	23	440266	181883	270110	279695	3	5.09962885410099	5.64371613434664	5.25979449665923
LV3003061476	-8.80270349075932	7.8955712751087	-6.61614790039061	-9.22823418502161	6.15116515333864	LV3003061476	ST13		96	37160	137.29	5.79476873023177	mgca_jonkers_2013	4.452	84098583	70.2	34228366	72.2	9.19719729556924	37.16	130477	39	383717	137020	300305	306546	3	5.11553729110686	5.58401217219107	5.1367871327418
